ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score,Permalink,Date,"External Product URL","Button Text"
3583,"Yoast SEO",,product,external,0,89,,"Wordpress Plugins>SEO Plugin","Yoast BV",15,https://appsfomo.com/reviews/yoast-seo/,2020-09-03,https://yoast.com/wordpress/plugins/seo/,"Buy Now"
6206,Cloudflare,,product,external,0,20,,"SaaS>Hosting &amp; Cloud Services",,84,https://appsfomo.com/reviews/cloudflare/,2020-11-09,https://www.cloudflare.com/,"Sign Up Today"
6255,cPanel,,product,external,0,20,,"Web Panels",,77,https://appsfomo.com/reviews/cpanel/,2020-11-13,https://cpanel.net/,
6408,BunnyCDN,,product,external,0,1,,"SaaS>Hosting &amp; Cloud Services",,20,https://appsfomo.com/reviews/bunnycdn/,2020-11-12,http://bunny.net/,"Sign Up Today"
6419,SiteGround,,product,external,0,14.99,6.99,Hosting,,,https://appsfomo.com/reviews/siteground/,2020-11-12,https://www.siteground.com/,"Buy Now"
6427,Bluehost,,product,external,0,2.97,,Hosting,,,https://appsfomo.com/reviews/bluehost/,2020-11-12,https://www.bluehost.com/,"Buy Now"
6488,Plesk,,product,external,0,9.17,8.25,"Web Panels",,16,https://appsfomo.com/reviews/plesk/,2020-11-16,https://www.plesk.com/,"Buy Now"
6537,Plutio,,product,external,0,19,,"SaaS>Project Management",,26,https://appsfomo.com/reviews/plutio/,2020-11-17,https://www.plutio.com/,"Sign Up Today"
6622,CiuisCRM,,product,external,0,45,,"PHP Scripts",SuiseSoft,,https://appsfomo.com/reviews/ciuiscrm/,2020-11-17,https://1.envato.market/QOYMg6,"Buy Now"
6645,Mailchimp,,product,external,0,9,,"SaaS>Marketing and Sales",Mailchimp,25,https://appsfomo.com/reviews/mailchimp/,2020-11-19,https://shop.appsfomo.com/p/cWPi/r,"Sign Up Today"
6938,SendGrid,,product,external,0,19.95,,"SaaS>Marketing and Sales",SendGrid,,https://appsfomo.com/reviews/sendgrid/,2020-11-24,https://sendgrid.com/,"Sign Up Today"
8302,Hestia,,product,external,0,69,,"Wordpress Themes>Multipurpose",Themeisle,,https://appsfomo.com/reviews/hestia/,2021-01-06,https://themeisle.com/themes/hestia/,"Buy Now"
