id,Title,"Affiliate Store",Expired,re_post_expired,rehub_offer_product_url
10531,"Get Backup Pro 3",Stacksocial,,0,https://stacksocial.com/sales/backup-pro-single-license?aid=a-j0gmt06o
10562,NeverSpam,Dealify,,0,https://www.dealify.com/neverspam/?deal=stellar
10567,Internxt,AppSumo,yes,1,https://appsumo.com/internxt/
10596,Botspice,AppSumo,yes,1,https://appsumo.com/marketplace-botspice/
10700,Viewst,AppsFomo,,0,https://appsumo.com/viewst/
10804,Beagle,AppSumo,yes,1,https://appsumo.com/beaglesecurity/
10838,Pushfy,AppSumo,yes,1,https://appsumo.com/marketplace-pushfy-boost-your-conversions-increase-leads-sales-w/
10890,Instoo,AppSumo,yes,1,https://appsumo.com/instoo/
10943,Easynote,AppsFomo,,0,https://dealmirror.com/product/easynote-lifetime-deal/
10945,Screpy,AppSumo,,0,https://appsumo.com/screpy/
11055,"Exact Visitor","SaaS Mantra",,0,https://saasmantra.com/deals/exactvisitor
11110,Decktopus,Dealify,,0,https://www.dealify.com/decktopus/?deal=stellar
11137,"Starchive 1TB Cloud Storage",Stacksocial,,0,https://stacksocial.com/sales/starchive-1-tb-individual-plan-cloud-storage-lifetime-subscription?aid=a-j0gmt06o
11154,bCast,AppSumo,yes,1,https://appsumo.com/bcast/
11200,Writesonic,Stacksocial,,0,https://stacksocial.com/sales/writesonic-starter-plan-lifetime-subscription?aid=a-j0gmt06o
11222,"AI Kontent",AppSumo,,0,shop.appsfomo.com/p/kceR/r
11276,Rymotely,DealMirror,,0,https://dealmirror.com/product/rymotely-lifetime-deal/?ref=interstellar.consulting
11306,Mailifier,Dealify,,0,https://www.dealify.com/mailifier/?deal=stellar
11307,Hubblu,Pitchground,,0,https://pitchground.sjv.io/KezD2A
11357,"Coassemble Learning Management System",Stacksocial,,0,https://stacksocial.com/sales/coassemble-lifetime-subscription/?aid=a-j0gmt06o%C2%A0
11436,Dashup,Pitchground,,0,https://pitchground.sjv.io/7mMZLr
11444,Mailmodo,Pitchground,,0,https://pitchground.sjv.io/mgG7rq
11582,Explore,"SaaS Mantra",,0,https://saasmantra.com/deals/omniconvert
11614,Marketplan,LTDhunt,,0,https://marketplan.io/ltd-offer-ltd-hunt/
11627,Clearfy,SaaSwizz,,0,https://clearfy.pro/saaswiz/
11695,Encharge,AppSumo,yes,1,https://appsumo.com/encharge/
11732,MassFlow,DealFuel,,0,https://www.dealfuel.com/seller/massflow-website-visitor-analytics/?ap_id=interstellar
11820,1Brand,AppSumo,yes,1,https://appsumo.com/1brand/
11837,Postpace,Pitchground,,0,https://pitchground.sjv.io/qny7kj
11850,"WP Compress",AppSumo,yes,1,https://appsumo.com/wp-compress/
11863,Backupper,Bitsdujour,,0,https://bitsdujour.stacksocial.com/sales/lifetime-of-aomei-backupper-professional/?aid=a-j0gmt06o
11881,Integrately,AppsFomo,,0,https://integrately.com/ltd
11933,YouPost,Dealify,,0,https://www.dealify.com/youpost/?deal=stellar
11978,"Squirrly SEO",AppSumo,,0,shop.appsfomo.com/p/EK1B/r
12024,Adguard,Stacksocial,,0,https://stacksocial.com/sales/adguard-personal-plan-lifetime-subscription?aid=a-j0gmt06o
12057,Ashore,AppSumo,yes,1,https://appsumo.com/ashore/
12067,FeedBear,AppSumo,yes,1,https://appsumo.com/marketplace-feedbear/
12078,Pabbly,AppsFomo,,0,https://payments.pabbly.com/api/affurl/RVYZ07kQyUZ0Z1HUKZ1m/4Ngdbf0I90Z1ubiJn?target=nMfdbf0I90K3UdJnhttps://payments.pabbly.com/api/affurl/RVYZ07kQyUZ0Z1HUKZ1m/4Ngdbf0I90Z1ubiJn?target=nMfdbf0I90K3UdJn
12142,Zuitte,Dealify,,0,https://www.dealify.com/zuitte/?deal=stellar
12162,Rytr,AppSumo,yes,1,https://appsumo.com/marketplace-rytr/
12180,Acadle,AppSumo,yes,1,https://appsumo.com/acadle/
12208,LeadKlozer,Pitchground,,0,https://pitchground.sjv.io/x9Z7Xd
12271,"Luminar 4 Power Bundle",Stacksocial,,0,https://stacksocial.com/sales/the-award-winning-luminar-4-power-bundle
12307,LocalPress,Pitchground,,0,https://pitchground.sjv.io/QOb5zM
12338,TexAu,AppSumo,yes,1,https://appsumo.com/texau/
12348,"GA Insights",Stacksocial,,0,https://stacksocial.com/sales/ga-insights-reports-plan-lifetime-subscription?aid=a-j0gmt06o
12421,Scrapbook,Dealify,,0,https://www.dealify.com/scrapbook/?deal=stellar
12430,"Invoice Crowd",AppSumo,,0,shop.appsfomo.com/p/d8HH/r
12456,"Social Champ",AppSumo,yes,1,https://appsumo.com/social-champ/
12496,"Brizy Pro",AppsFomo,,0,https://www.brizy.io/brizy-pro-pricing/
12623,"Keyword Hero",AppSumo,yes,1,https://appsumo.com/keywordhero/
12688,ActiveCollab,AppSumo,yes,1,https://appsumo.com/activecollab/
12730,NeuralText,AppSumo,yes,1,https://appsumo.com/neuraltext/
12844,"OneHash Enterprise Resource Planning For Startups",DealFuel,,0,https://www.dealfuel.com/seller/onehash-enterprise-resource-planning/?ap_id=interstellar
12850,Spoke,AppSumo,yes,1,https://appsumo.com/spoke/
12883,Recreate,DealMirror,,0,https://dealmirror.com/product/recreate-lifetime-deal/?ref=interstellar.consulting
