Title,Sku,ID,Post Type,Product Type,Parent Product ID,Sale Price,Featured Image,Regular Price,Price Suffix,Brand,Product categories,rank_math_seo_score,Permalink,External URL,Button Text,Date,Review Date,Author,Company Name,Marketplace,Free Verison,Initial Release,Active Installations,WP.org Ratings,Niche,Free Templates,Premuim Templates,Unique Theme Features,eCommerce Support,Supported Page Builders,One click demo,Multi lang support,Pricing options,Money-Back Guarantee,Appsfomo Ratings,Site Usage,Support System,Competitor,Affiliate Program
Thrive,,3430,product,external,0,,Done,299,Yearly,Thrive Themes,Wordpress Themes>Multipurpose,,https://appsfomo.com/reviews/thrive/,https://1.envato.market/KeZvPe,Buy Now,02-08-2020,06-10-2020,Shane Melaugh,Thrive Themes,Own Site,Not Available,2013,10k +,,Buddypress,None,10+,Conversion Suite,,Custom,Yes,WPML,Yearly,30 Days,,1 Site,"Support Ticket,Live Chat",Oxygen,Yes
Bellevue,,3465,product,external,0,,Done,59,One-Time,Themovation,Wordpress Themes>Corporate,11,https://appsfomo.com/reviews/bellevue/,https://1.envato.market/a1W9Lo,Buy Now,10-07-2020,19-11-2020,Ben Sibley,Themovation,"Themeforest, Own Site",Available on Own Site,2008,10k +,,Hotel,None,10+,Hotel Booking System,,Elementor,Yes,WPML,One-time Payment,N/A,,1 Site,"Support Ticket,Live Chat",Zante,No
Avada,,3580,product,external,0,,Done,69,One-Time,ThemeFusion,Wordpress Themes>Creative,12,https://appsfomo.com/reviews/avada/,https://1.envato.market/Vy6vQM,Buy Now,02-09-2020,Default,Luke,ThemeFusion,Themeforest,Not Available,2012,100k +,5,Multi-Purpose,None,100+,Highly Customizable,,Custom,Yes,WPML,One-time Payment,N/A,,1 Site,"Support Ticket,Live Chat","Astra,Divi",No
Hestia,,8302,product,external,0,,Done,69,Yearly,Themeisle,Wordpress Themes>Multipurpose,,https://appsfomo.com/reviews/hestia/,https://themeisle.com/themes/hestia/,Buy Now,06-01-2021,05-01-2021,Tony Perez,Themeisle,Own Site,"Available on WP.org ,Available on Own Site",2013,100k +,5,Multi-Purpose,5+,10+,Slick Material Design,,"Gutenberg,Elementor",Yes,WPML,Yearly,30 Days,,"1 Site,3 Sites,Unlimited Sites","Support Ticket,Live Chat",Generatepress,Yes
OceanWP,8314,8314,product,external,0,,Done,43,Yearly,OceanWp LLC,Wordpress Themes>Multipurpose,,https://appsfomo.com/reviews/oceanwp/,https://oceanwp.org/,Buy Now,05-01-2021,,Nicolas Lecocq,OceanWp LLC,Own Site,"Available on WP.org ,Available on Own Site",2016,100k +,,,10+,20+,Very Generous Free Plan,,"Gutenberg,Elementor,Beaver Builder",Yes,WPML,"Yearly,One-time Payment",14 Days,,"3 Sites,5+ Sites,50+ Sites","Support Ticket,Live Chat",Astra,Yes
ShopIsle,,8336,product,external,0,,Done,,,Themeisle,Wordpress Themes>e-commerce,,https://appsfomo.com/reviews/shopisle/,https://themeisle.com/themes/shop-isle-pro/#pricing,Buy Now,06-01-2021,06-01-2021,,Tony Perez,Own Site,,,,,E-commerce,5+,10+,Made for Woocommerce,,Elementor,Yes,WPML,Annual subscription|Lifetime updates,,,3 Sites|Single site|Unlimited,,Porto,
Generatepress,,8345,product,external,0,44,Done,59,Yearly,Edge22 Studios Ltd,Wordpress Themes,,https://appsfomo.com/reviews/generatepress-lightning-speed-wordpress-theme-2021-review/,https://generatepress.com/,Buy Now,06-01-2021,"Jan 7, 2021",Tom Usborne,Edge22 Studios Ltd,Own Site,"Available on WP.org ,Available on Own Site",2016,100k +,5,Multipurpose,10+,10+,Lightweight,EDD|WooCommerce,"Gutenberg,Elementor,Beaver Builder",Yes,WPML,"Yearly,One-time Payment",30 Days,,100+ Sites,Support Ticket,"Astra,Genesis,OceanWP",Yes
Kadence,,8405,product,external,0,56,Done,129,Yearly,Stellar WP,Wordpress Themes>Multipurpose,,https://appsfomo.com/reviews/kadence/,https://kadence-theme.com/,Buy Now,08-01-2021,08-01-2021,Ben Ritner,KadenceWP,Own Site,"Available on WP.org ,Available on Own Site",2014,1M +,5,Design|Modern|Multipurpose,20+,100+,Modern Demo templates,WooCommerce,"Gutenberg,Elementor",Yes,WPML,"Yearly,One-time Payment",30 Days,,Unlimited Sites,"Email,Support Ticket","Astra,Generatepress,OceanWP",Yes
Imagely,,8509,product,external,0,,Done,209,One-Time,Imagely,Wordpress Themes>Creative,,https://appsfomo.com/reviews/imagely/,https://www.imagely.com/pricing/,Buy Now,11-01-2021,11-01-2021,Nathan Singh,Imagely,Own Site,"Available on WP.org ,Available on Own Site",2009,100k +,5,Design|Modern|Photography,None,10+,Photography,WooCommerce,Elementor,Yes,WPML,"Yearly,One-time Payment",14 Days,,"1 Site,3 Sites,5+ Sites,Unlimited Sites","Email,Support Ticket","Modesto,Photography",Yes
Brizy,,9234,product,external,0,,Done,34,Yearly,Brizy,Wordpress Themes>Page Builder,,https://appsfomo.com/reviews/brizy/,https://www.brizy.io/brizy-pro-pricing/,Buy Now,15-01-2021,15-01-2021,Dimi,Brizy,Own Site,Available on Own Site,2009,2M +,,Design|Modern|Page Builder,50+,100+,Powerful Page Builder,WooCommerce,Brizy,Yes,WPML,Yearly,30 Days,,"1 Site,100+ Sites","Email,Support Ticket","Astra,Generatepress,OceanWP",Yes
